Name,Date1,Date2,Platform,Mode,Orbit,RelativeOrbit,PolyFrame,OrbitDirection,ProcessingLevel,Polarisation1,Polarisation2,Polarisation3,Polarisation4,Server,Url,Status,SizeMB,Stored,Processed
S1A_IW_SLC__1SDV_20210123T145300_20210123T145328_036266_044114_F7D2.zip,2021-01-23T14:53:00.873Z,2021-01-23T14:53:28.742Z,S1A,IW,36266,144,"POLYGON ((53.656353 -21.292299, 54.085526 -22.967602, 56.497501 -22.397905, 56.038628 -20.731539, 53.656353 -21.292299))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/0b679fad-8d85-5d62-be64-40ebae1761d7,ONLINE,7912.591164,False,False
S1A_IW_SLC__1SDV_20210111T145301_20210111T145329_036091_043AFD_EA8C.zip,2021-01-11T14:53:01.349Z,2021-01-11T14:53:29.239Z,S1A,IW,36091,144,"POLYGON ((53.655548 -21.291777, 54.085014 -22.968315, 56.497044 -22.398642, 56.037857 -20.731045, 53.655548 -21.291777))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/9fc66f28-b4f6-5b41-b453-c7eeee6f942b,ONLINE,3777.057551,False,False
S1A_IW_SLC__1SDV_20201230T145301_20201230T145329_035916_0434E6_D044.zip,2020-12-30T14:53:01.991Z,2020-12-30T14:53:29.874Z,S1A,IW,35916,144,"POLYGON ((53.654724 -21.290817, 54.084087 -22.96699, 56.496075 -22.397335, 56.037003 -20.730103, 53.654724 -21.290817))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/7cf454d4-ee46-599d-b781-1a61f9ec5d85,ONLINE,7911.956282,False,False
S1A_IW_SLC__1SDV_20201218T145302_20201218T145330_035741_042EBC_E4A8.zip,2020-12-18T14:53:02.541Z,2020-12-18T14:53:30.431Z,S1A,IW,35741,144,"POLYGON ((53.654842 -21.291162, 54.084335 -22.967701, 56.496292 -22.398008, 56.037083 -20.730412, 53.654842 -21.291162))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/bc57399b-db82-5430-b310-bdb2dbb4f42a,ONLINE,7911.945305,False,False
S1A_IW_SLC__1SDV_20201206T145303_20201206T145330_035566_0428BA_B697.zip,2020-12-06T14:53:03.048Z,2020-12-06T14:53:30.932Z,S1A,IW,35566,144,"POLYGON ((53.655128 -21.290998, 54.084534 -22.967163, 56.496529 -22.397446, 56.037411 -20.730223, 53.655128 -21.290998))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/2f66de5b-b12d-51a3-82f3-5430556e859b,ONLINE,7912.240402,False,False
S1A_IW_SLC__1SDV_20201124T145303_20201124T145331_035391_0422B3_6E8C.zip,2020-11-24T14:53:03.362Z,2020-11-24T14:53:31.241Z,S1A,IW,35391,144,"POLYGON ((53.656292 -21.290924, 54.085636 -22.966841, 56.497604 -22.397121, 56.038551 -20.730145, 53.656292 -21.290924))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/43b88451-1fc4-567b-acf8-d758dca34b85,ONLINE,7911.849403,False,False
S1A_IW_SLC__1SDV_20201112T145303_20201112T145331_035216_041CA9_EA76.zip,2020-11-12T14:53:03.808Z,2020-11-12T14:53:31.698Z,S1A,IW,35216,144,"POLYGON ((53.655384 -21.291292, 54.084873 -22.967823, 56.496956 -22.398092, 56.037743 -20.730505, 53.655384 -21.291292))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/4739953f-ea7f-50c0-88e8-feda7f7cdbf9,ONLINE,7911.960099,False,False
S1A_IW_SLC__1SDV_20201031T145304_20201031T145331_035041_04168B_EA9A.zip,2020-10-31T14:53:04.052Z,2020-10-31T14:53:31.935Z,S1A,IW,35041,144,"POLYGON ((53.655159 -21.291887, 54.084518 -22.968054, 56.496597 -22.398369, 56.037518 -20.731144, 53.655159 -21.291887))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/fba6e3b9-fe0b-58c4-b39d-28bb6c48bbc2,ONLINE,7912.081052,False,False
S1A_IW_SLC__1SDV_20201019T145304_20201019T145331_034866_041096_993B.zip,2020-10-19T14:53:04.029Z,2020-10-19T14:53:31.917Z,S1A,IW,34866,144,"POLYGON ((53.655224 -21.291176, 54.084663 -22.967588, 56.496716 -22.397881, 56.037552 -20.73041, 53.655224 -21.291176))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/84f6cafb-26bc-5335-a246-da53887a96ee,ONLINE,7912.013923,False,False
S1A_IW_SLC__1SDV_20201007T145304_20201007T145331_034691_040A73_483E.zip,2020-10-07T14:53:04.052Z,2020-10-07T14:53:31.942Z,S1A,IW,34691,144,"POLYGON ((53.654591 -21.291254, 54.084076 -22.967789, 56.496143 -22.398046, 56.03693 -20.730457, 53.654591 -21.291254))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/e4561298-5ce3-5e95-acc7-0261cab2bc18,ONLINE,7912.163547,False,False
S1A_IW_SLC__1SDV_20200925T145303_20200925T145331_034516_04044E_DDA5.zip,2020-09-25T14:53:03.770Z,2020-09-25T14:53:31.664Z,S1A,IW,34516,144,"POLYGON ((53.654743 -21.290768, 54.084286 -22.967548, 56.496338 -22.397806, 56.03706 -20.729971, 53.654743 -21.290768))",ASCENDING,SLC,VV,VH,,,Copernicus,https://catalogue.dataspace.copernicus.eu/download/672b2021-6a67-553c-bc59-4c99ab52d600,ONLINE,7911.955408,False,False
